_id_experiment,note,tight_contact,NO_ppm,O2_vol%,SO2_ppm,H2O_ppm,soot_supplier,soot_name,soot_surface_area,mass_soot,mass_catalyst,soot_to_catalyst_mass_ratio,total_mass_g,mass_silica_beads,ramp_rate_C_min,start_temp,gas_flow_ml_min,soot_oxidation_T_max,material_id,doi_experiment,has_NOx,has_soot,temperature,soot_oxidation_co_concentration_ppm,soot_oxidation_conversion,soot_oxidation_co2_concentration_%,no2_%_of_nox,NO2_ppm,soot_oxidation_co2_concentration_ppm,no_ppm,no2_ppm,nox_ppm,total_nox_conversion_%,soot_oxidation_co2_selectivity,soot_oxidation_cox_concentration_ppm,conversion_calculated_from,soot_oxidation_cox_concentration_%,n2_ppm,NOx_ppm,NOx_ppm__calculated_from,soot_oxidation_co2_concentration_ppm__calculated_from,soot_oxidation_co_concentration_ppm__calculated_from,soot_oxidation_cox_concentration_ppm__calculated_from,soot_oxidation_co2_concentration_%__calculated_from,soot_oxidation_cox_concentration_%__calculated_from,soot_oxidation_co2_selectivity__calculated_from,nox_ppm__calculated_from,no_ppm__calculated_from,no2_ppm__calculated_from,no2_%_of_nox__calculated_from,total_nox_conversion_%__calculated_from,mass_soot_remaining_mg,mass_soot_remaining_mg__calculated_from,mass_soot_converted_mg,mass_soot_converted_mg__calculated_from,mass_soot__calculated_from,tight_contact__calculated_from,NO_ppm__calculated_from,NO2_ppm__calculated_from,soot_oxidation_conversion__calculated_from,O2_fraction,no2_fraction_of_nox,total_nox_conversion,temperature_K,start_temp_K,ramp_rate_K_min,mass_soot_mg,F_total_mol_min,F_NO_in,F_NO2_in,F_NOx_in,NO_initial_ppm,NO2_initial_ppm,NOx_initial_ppm,initial_NOx_source,S_NO2_initial,F_NO_initial,F_NO2_initial,F_NOx_initial,_id_material,name,imp_dispersion_CO/M,sup_calcination_temp,sup_calcination_time,sup_Ce,sup_Pr,sup_crystallite_size_nm,Sbet,ageing_temp,ageing_time,doi_material,has_impregnated_metal,fingerprint,imp_calcination_temp,imp_calcination_time,imp_Pt_wt%,sup_Co,sup_Zr,sup_Ba,sup_Fe,crystal,alkaline_earth_promotor,promotor_wt%,sup_Ni,sup_Mn,sup_Cu,sup_La,sup_Al,sup_Ti,sup_M_to_O_ratio,sup_K,sup_Mg
6a7d9fab7bffe6ebe23a3f9f,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,True,350.0,43.93350143168511,0.04373037739475876,0.03407884344287698,,,340.78843442876985,,,,,0.88580453221773,384.72193586045495,,0.03847219358604549,,550.0,NO_ppm + NO2_ppm (missing inlet species treated as 0),soot_oxidation_co2_concentration_% * 10000,,soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm,,soot_oxidation_cox_concentration_ppm / 10000,100 * soot_oxidation_co2_concentration_ppm / (soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm),,,,,,4.7813481130262065,mass_soot * 1000 * (1 - soot_oxidation_conversion/100),0.2186518869737938,mass_soot * 1000 * soot_oxidation_conversion/100,,,,,,0.1,,,623.15,,5,5.0,0.00446149727848666,2.4538235031676625e-06,,2.4538235031676625e-06,550.0,0.0,550.0,reported_inlet,0.0,2.4538235031676625e-06,0.0,2.4538235031676625e-06,6a7d9f997bffe6ebe23a3f1c,Ce50Pr50-NP,,550.0,4.0,0.5,0.5,,16.0,,,10.1016/j.apcatb.2017.12.048,False,b09f79e5d184691077f5aa3917e5394edb39fa96edcabc62f3ce4f8871891eb0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6a7d9fab7bffe6ebe23a3f9f,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,True,400.0,147.15586136159664,0.12270135195745498,0.14017256376161003,,,1401.7256376161004,,,,,0.9049921756708157,1548.881498977697,,0.1548881498977697,,550.0,NO_ppm + NO2_ppm (missing inlet species treated as 0),soot_oxidation_co2_concentration_% * 10000,,soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm,,soot_oxidation_cox_concentration_ppm / 10000,100 * soot_oxidation_co2_concentration_ppm / (soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm),,,,,,4.386493240212725,mass_soot * 1000 * (1 - soot_oxidation_conversion/100),0.6135067597872749,mass_soot * 1000 * soot_oxidation_conversion/100,,,,,,0.1,,,673.15,,5,5.0,0.00446149727848666,2.4538235031676625e-06,,2.4538235031676625e-06,550.0,0.0,550.0,reported_inlet,0.0,2.4538235031676625e-06,0.0,2.4538235031676625e-06,6a7d9f997bffe6ebe23a3f1c,Ce50Pr50-NP,,550.0,4.0,0.5,0.5,,16.0,,,10.1016/j.apcatb.2017.12.048,False,b09f79e5d184691077f5aa3917e5394edb39fa96edcabc62f3ce4f8871891eb0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6a7d9fab7bffe6ebe23a3f9f,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,True,450.0,249.83973674088637,0.4023515089382969,0.32871297027624197,,,3287.1297027624196,,,,,0.9293633317974126,3536.969439503306,,0.35369694395033063,,550.0,NO_ppm + NO2_ppm (missing inlet species treated as 0),soot_oxidation_co2_concentration_% * 10000,,soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm,,soot_oxidation_cox_concentration_ppm / 10000,100 * soot_oxidation_co2_concentration_ppm / (soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm),,,,,,2.988242455308515,mass_soot * 1000 * (1 - soot_oxidation_conversion/100),2.0117575446914846,mass_soot * 1000 * soot_oxidation_conversion/100,,,,,,0.1,,,723.15,,5,5.0,0.00446149727848666,2.4538235031676625e-06,,2.4538235031676625e-06,550.0,0.0,550.0,reported_inlet,0.0,2.4538235031676625e-06,0.0,2.4538235031676625e-06,6a7d9f997bffe6ebe23a3f1c,Ce50Pr50-NP,,550.0,4.0,0.5,0.5,,16.0,,,10.1016/j.apcatb.2017.12.048,False,b09f79e5d184691077f5aa3917e5394edb39fa96edcabc62f3ce4f8871891eb0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6a7d9fab7bffe6ebe23a3f9f,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,True,500.0,109.89785888285824,0.8136092778881272,0.29633776906849557,,,2963.3776906849557,,,,,0.9642408052547344,3073.275549567814,,0.3073275549567814,,550.0,NO_ppm + NO2_ppm (missing inlet species treated as 0),soot_oxidation_co2_concentration_% * 10000,,soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm,,soot_oxidation_cox_concentration_ppm / 10000,100 * soot_oxidation_co2_concentration_ppm / (soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm),,,,,,0.931953610559364,mass_soot * 1000 * (1 - soot_oxidation_conversion/100),4.068046389440636,mass_soot * 1000 * soot_oxidation_conversion/100,,,,,,0.1,,,773.15,,5,5.0,0.00446149727848666,2.4538235031676625e-06,,2.4538235031676625e-06,550.0,0.0,550.0,reported_inlet,0.0,2.4538235031676625e-06,0.0,2.4538235031676625e-06,6a7d9f997bffe6ebe23a3f1c,Ce50Pr50-NP,,550.0,4.0,0.5,0.5,,16.0,,,10.1016/j.apcatb.2017.12.048,False,b09f79e5d184691077f5aa3917e5394edb39fa96edcabc62f3ce4f8871891eb0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6a7d9fab7bffe6ebe23a3f9f,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,True,550.0,21.868455916919515,0.975780098673672,0.03966367062916786,,,396.6367062916786,,,,,0.9477462696003269,418.5051622085981,,0.041850516220859814,,550.0,NO_ppm + NO2_ppm (missing inlet species treated as 0),soot_oxidation_co2_concentration_% * 10000,,soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm,,soot_oxidation_cox_concentration_ppm / 10000,100 * soot_oxidation_co2_concentration_ppm / (soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm),,,,,,0.12109950663164004,mass_soot * 1000 * (1 - soot_oxidation_conversion/100),4.87890049336836,mass_soot * 1000 * soot_oxidation_conversion/100,,,,,,0.1,,,823.15,,5,5.0,0.00446149727848666,2.4538235031676625e-06,,2.4538235031676625e-06,550.0,0.0,550.0,reported_inlet,0.0,2.4538235031676625e-06,0.0,2.4538235031676625e-06,6a7d9f997bffe6ebe23a3f1c,Ce50Pr50-NP,,550.0,4.0,0.5,0.5,,16.0,,,10.1016/j.apcatb.2017.12.048,False,b09f79e5d184691077f5aa3917e5394edb39fa96edcabc62f3ce4f8871891eb0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6a7d9fab7bffe6ebe23a3f9f,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,True,600.0,1.9188854224539398,0.9862882040110206,0.0011697543515861665,,,11.697543515861664,,,,,0.8590757216046314,13.616428938315604,,0.0013616428938315603,,550.0,NO_ppm + NO2_ppm (missing inlet species treated as 0),soot_oxidation_co2_concentration_% * 10000,,soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm,,soot_oxidation_cox_concentration_ppm / 10000,100 * soot_oxidation_co2_concentration_ppm / (soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm),,,,,,0.06855897994489712,mass_soot * 1000 * (1 - soot_oxidation_conversion/100),4.931441020055103,mass_soot * 1000 * soot_oxidation_conversion/100,,,,,,0.1,,,873.15,,5,5.0,0.00446149727848666,2.4538235031676625e-06,,2.4538235031676625e-06,550.0,0.0,550.0,reported_inlet,0.0,2.4538235031676625e-06,0.0,2.4538235031676625e-06,6a7d9f997bffe6ebe23a3f1c,Ce50Pr50-NP,,550.0,4.0,0.5,0.5,,16.0,,,10.1016/j.apcatb.2017.12.048,False,b09f79e5d184691077f5aa3917e5394edb39fa96edcabc62f3ce4f8871891eb0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6a7d9fab7bffe6ebe23a3f9f,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,True,650.0,3.047138766613955,0.9937207663228038,0.00013197228581997777,,,1.3197228581997777,,,,,0.30221311586809674,4.366861624813732,,0.00043668616248137323,,550.0,NO_ppm + NO2_ppm (missing inlet species treated as 0),soot_oxidation_co2_concentration_% * 10000,,soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm,,soot_oxidation_cox_concentration_ppm / 10000,100 * soot_oxidation_co2_concentration_ppm / (soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm),,,,,,0.031396168385980916,mass_soot * 1000 * (1 - soot_oxidation_conversion/100),4.968603831614019,mass_soot * 1000 * soot_oxidation_conversion/100,,,,,,0.1,,,923.15,,5,5.0,0.00446149727848666,2.4538235031676625e-06,,2.4538235031676625e-06,550.0,0.0,550.0,reported_inlet,0.0,2.4538235031676625e-06,0.0,2.4538235031676625e-06,6a7d9f997bffe6ebe23a3f1c,Ce50Pr50-NP,,550.0,4.0,0.5,0.5,,16.0,,,10.1016/j.apcatb.2017.12.048,False,b09f79e5d184691077f5aa3917e5394edb39fa96edcabc62f3ce4f8871891eb0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6a7d9fab7bffe6ebe23a3fa0,soot_oxidation_without_no,0.0,0.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,False,True,350.0,17.778639772433408,0.021267545725223047,0.007399632642351266,,0.0,73.99632642351266,0.0,0.0,0.0,,0.8062800727763304,91.77496619594606,,0.009177496619594607,,0.0,has_NOx == False,soot_oxidation_co2_concentration_% * 10000,,soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm,,soot_oxidation_cox_concentration_ppm / 10000,100 * soot_oxidation_co2_concentration_ppm / (soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm),has_NOx == False,has_NOx == False,has_NOx == False,,,4.893662271373885,mass_soot * 1000 * (1 - soot_oxidation_conversion/100),0.10633772862611524,mass_soot * 1000 * soot_oxidation_conversion/100,,,has_NOx == False,has_NOx == False,,0.1,,,623.15,,5,5.0,0.00446149727848666,0.0,0.0,0.0,0.0,0.0,0.0,reported_inlet,,0.0,0.0,0.0,6a7d9f997bffe6ebe23a3f1c,Ce50Pr50-NP,,550.0,4.0,0.5,0.5,,16.0,,,10.1016/j.apcatb.2017.12.048,False,b09f79e5d184691077f5aa3917e5394edb39fa96edcabc62f3ce4f8871891eb0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6a7d9fab7bffe6ebe23a3fa0,soot_oxidation_without_no,0.0,0.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,False,True,400.0,27.256271011119736,0.04603605666982942,0.024521123064812547,,0.0,245.21123064812548,0.0,0.0,0.0,,0.8999650569512428,272.4675016592452,,0.02724675016592452,,0.0,has_NOx == False,soot_oxidation_co2_concentration_% * 10000,,soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm,,soot_oxidation_cox_concentration_ppm / 10000,100 * soot_oxidation_co2_concentration_ppm / (soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm),has_NOx == False,has_NOx == False,has_NOx == False,,,4.7698197166508525,mass_soot * 1000 * (1 - soot_oxidation_conversion/100),0.2301802833491471,mass_soot * 1000 * soot_oxidation_conversion/100,,,has_NOx == False,has_NOx == False,,0.1,,,673.15,,5,5.0,0.00446149727848666,0.0,0.0,0.0,0.0,0.0,0.0,reported_inlet,,0.0,0.0,0.0,6a7d9f997bffe6ebe23a3f1c,Ce50Pr50-NP,,550.0,4.0,0.5,0.5,,16.0,,,10.1016/j.apcatb.2017.12.048,False,b09f79e5d184691077f5aa3917e5394edb39fa96edcabc62f3ce4f8871891eb0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6a7d9fab7bffe6ebe23a3fa0,soot_oxidation_without_no,0.0,0.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,False,True,450.0,53.95655546935609,0.13172790629192163,0.10272894253476768,,0.0,1027.2894253476768,0.0,0.0,0.0,,0.9500977978863011,1081.245980817033,,0.10812459808170329,,0.0,has_NOx == False,soot_oxidation_co2_concentration_% * 10000,,soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm,,soot_oxidation_cox_concentration_ppm / 10000,100 * soot_oxidation_co2_concentration_ppm / (soot_oxidation_co2_concentration_ppm + soot_oxidation_co_concentration_ppm),has_NOx == False,has_NOx == False,has_NOx == False,,,4.341360468540392,mass_soot * 1000 * (1 - soot_oxidation_conversion/100),0.6586395314596081,mass_soot * 1000 * soot_oxidation_conversion/100,,,has_NOx == False,has_NOx == False,,0.1,,,723.15,,5,5.0,0.00446149727848666,0.0,0.0,0.0,0.0,0.0,0.0,reported_inlet,,0.0,0.0,0.0,6a7d9f997bffe6ebe23a3f1c,Ce50Pr50-NP,,550.0,4.0,0.5,0.5,,16.0,,,10.1016/j.apcatb.2017.12.048,False,b09f79e5d184691077f5aa3917e5394edb39fa96edcabc62f3ce4f8871891eb0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
